country,year,category,share,value,pair_side
Guatemala,2018,large_equipment,0.13,2.8,y
Guatemala,2018,small_it,0.14,4.4,x
Guatemala,2018,small_equipment,0.36,2.8,y
Guatemala,2018,small_it,0.14,4.4,x
Guatemala,2018,small_it,0.12,2.8,y
Honduras,2018,temperature_exchange_equipment,0.28,2.9,x
Honduras,2018,temperature_exchange_equipment,0.23,2.5,y
Honduras,2018,temperature_exchange_equipment,0.28,2.9,x
Honduras,2018,screens_and_monitors,0.05,2.5,y
Honduras,2018,temperature_exchange_equipment,0.28,2.9,x
Honduras,2018,lamps,0.06,2.5,y
Honduras,2018,temperature_exchange_equipment,0.28,2.9,x
Honduras,2018,large_equipment,0.08,2.5,y
Honduras,2018,temperature_exchange_equipment,0.28,2.9,x
Honduras,2018,small_equipment,0.51,2.5,y
Honduras,2018,temperature_exchange_equipment,0.28,2.9,x
Honduras,2018,small_it,0.07,2.5,y
Honduras,2018,screens_and_monitors,0.15,2.9,x
Honduras,2018,temperature_exchange_equipment,0.23,2.5,y
Honduras,2018,screens_and_monitors,0.15,2.9,x
Honduras,2018,screens_and_monitors,0.05,2.5,y
Honduras,2018,screens_and_monitors,0.15,2.9,x
Honduras,2018,lamps,0.06,2.5,y
Honduras,2018,screens_and_monitors,0.15,2.9,x
Honduras,2018,large_equipment,0.08,2.5,y
Honduras,2018,screens_and_monitors,0.15,2.9,x
Honduras,2018,small_equipment,0.51,2.5,y
Honduras,2018,screens_and_monitors,0.15,2.9,x
Honduras,2018,small_it,0.07,2.5,y
Honduras,2018,lamps,0.03,2.9,x
Honduras,2018,temperature_exchange_equipment,0.23,2.5,y
Honduras,2018,lamps,0.03,2.9,x
Honduras,2018,screens_and_monitors,0.05,2.5,y
Honduras,2018,lamps,0.03,2.9,x
Honduras,2018,lamps,0.06,2.5,y
Honduras,2018,lamps,0.03,2.9,x
Honduras,2018,large_equipment,0.08,2.5,y
Honduras,2018,lamps,0.03,2.9,x
Honduras,2018,small_equipment,0.51,2.5,y
Honduras,2018,lamps,0.03,2.9,x
Honduras,2018,small_it,0.07,2.5,y
Honduras,2018,large_equipment,0.12,2.9,x
Honduras,2018,temperature_exchange_equipment,0.23,2.5,y
Honduras,2018,large_equipment,0.12,2.9,x
Honduras,2018,screens_and_monitors,0.05,2.5,y
Honduras,2018,large_equipment,0.12,2.9,x
Honduras,2018,lamps,0.06,2.5,y
Honduras,2018,large_equipment,0.12,2.9,x
Honduras,2018,large_equipment,0.08,2.5,y
Honduras,2018,large_equipment,0.12,2.9,x
Honduras,2018,small_equipment,0.51,2.5,y
Honduras,2018,large_equipment,0.12,2.9,x
Honduras,2018,small_it,0.07,2.5,y
Honduras,2018,small_equipment,0.34,2.9,x
Honduras,2018,temperature_exchange_equipment,0.23,2.5,y
Honduras,2018,small_equipment,0.34,2.9,x
Honduras,2018,screens_and_monitors,0.05,2.5,y
